info,year,title
"{'actors': ['James Franco', 'Amber Tamblyn', 'Kate Mara'], 'release_date': '2010-09-04T00:00:00Z', 'plot': 'A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.', 'genres': ['Adventure', 'Biography', 'Drama', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTc2NjMzOTE3Ml5BMl5BanBnXkFtZTcwMDE0OTc5Mw@@._V1_SX400_.jpg', 'directors': ['Danny Boyle'], 'rating': Decimal('7.7'), 'rank': Decimal('693'), 'running_time_secs': Decimal('5640')}",2010,127 Hours
"{'actors': ['Sam Riley', 'Alice Barrett', 'Gaby Hoffmann'], 'release_date': '2010-03-13T00:00:00Z', 'plot': ""A naive young man assumes a dead man's identity and finds himself embroiled in an underground world of power, violence, and chance where men gamble behind closed doors on the lives of other men."", 'genres': ['Drama', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTkwMjYyNjk2Nl5BMl5BanBnXkFtZTcwMjczODUwNw@@._V1_SX400_.jpg', 'directors': ['Gela Babluani'], 'rating': Decimal('6.1'), 'rank': Decimal('777'), 'running_time_secs': Decimal('5460')}",2010,13
"{'actors': ['Emma Roberts', 'Tamsin Egerton', 'Ophelia Lovibond'], 'release_date': '2010-06-02T00:00:00Z', 'genres': ['Crime', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMjA5NDA4MjM5Ml5BMl5BanBnXkFtZTcwOTIwNTIzMw@@._V1_SX400_.jpg', 'directors': ['Noel Clarke', 'Mark Davis'], 'rating': Decimal('5.7'), 'rank': Decimal('4041'), 'running_time_secs': Decimal('7020')}",2010,4.3.2.1
"{'actors': ['Rupert Friend', 'Emmanuelle Chriqui', 'Richard Coyle'], 'release_date': '2011-04-14T00:00:00Z', 'plot': 'A drama set centered around the war between Russia and Georgia, and focused on an American journalist, his cameraman, and a Georgian native who become caught in the crossfire.', 'genres': ['Action', 'Drama', 'War'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTM2Nzg0NDg4NV5BMl5BanBnXkFtZTcwNTEyODQ4NQ@@._V1_SX400_.jpg', 'directors': ['Renny Harlin'], 'rating': Decimal('5.5'), 'rank': Decimal('4483'), 'running_time_secs': Decimal('6780')}",2010,5 Days of War
"{'actors': ['Jackie Earle Haley', 'Rooney Mara', 'Kyle Gallner'], 'release_date': '2010-04-27T00:00:00Z', 'plot': 'A re-imagining of the horror icon Freddy Krueger, a serial-killer who wields a glove with four blades embedded in the fingers and kills people in their dreams, resulting in their real death in reality.', 'genres': ['Horror', 'Mystery', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTg5MDA3ODE4MV5BMl5BanBnXkFtZTcwNDU0NDIyMw@@._V1_SX400_.jpg', 'directors': ['Samuel Bayer'], 'rating': Decimal('5.1'), 'rank': Decimal('1119'), 'running_time_secs': Decimal('5700')}",2010,A Nightmare on Elm Street
"{'actors': ['Gilles Lellouche', 'Roschdy Zem', 'Gerard Lanvin'], 'release_date': '2010-11-04T00:00:00Z', 'genres': ['Action', 'Crime', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTcxMDA4NjQ4OF5BMl5BanBnXkFtZTcwMjc1MjEzNQ@@._V1_SX400_.jpg', 'directors': ['Fred Cavaye'], 'rating': Decimal('6.8'), 'rank': Decimal('4937'), 'running_time_secs': Decimal('5040')}",2010,A bout portant
"{'actors': ['Bin Won', 'Sae-ron Kim', 'Tae-hoon Kim'], 'release_date': '2010-08-05T00:00:00Z', 'plot': 'A quiet pawnshop keeper with a violent past takes on a drug- and organ trafficking ring in hope of saving the child who is his only friend.', 'genres': ['Action', 'Crime', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTI5OTQ5Mzg0N15BMl5BanBnXkFtZTcwNTA0OTAxNA@@._V1_SX400_.jpg', 'directors': ['Jeong-beom Lee'], 'rating': Decimal('7.8'), 'rank': Decimal('4840'), 'running_time_secs': Decimal('7140')}",2010,Ajeossi
"{'actors': ['Byung-hun Lee', 'Min-sik Choi', 'In-seo Kim'], 'release_date': '2010-08-12T00:00:00Z', 'plot': 'When his pregnant fiancee becomes the latest victim of a serial killer, a secret agent blurs the line between good and evil in his pursuit of revenge.', 'genres': ['Crime', 'Drama', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTY1NjE1NTE0MV5BMl5BanBnXkFtZTcwOTYzNjUzNA@@._V1_SX400_.jpg', 'directors': ['Kim Jee-Woon'], 'rating': Decimal('7.7'), 'rank': Decimal('1609'), 'running_time_secs': Decimal('8460')}",2010,Akmareul boatda
"{'actors': ['Mia Wasikowska', 'Johnny Depp', 'Helena Bonham Carter'], 'release_date': '2010-03-03T00:00:00Z', 'plot': ""19-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror."", 'genres': ['Adventure', 'Family', 'Fantasy'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTMwNjAxMTc0Nl5BMl5BanBnXkFtZTcwODc3ODk5Mg@@._V1_SX400_.jpg', 'directors': ['Tim Burton'], 'rating': Decimal('6.5'), 'rank': Decimal('323'), 'running_time_secs': Decimal('6480')}",2010,Alice in Wonderland
"{'actors': ['Ryan Gosling', 'Kirsten Dunst', 'Frank Langella'], 'release_date': '2010-11-05T00:00:00Z', 'plot': 'Mr. David Marks was suspected but never tried for killing his wife Katie who disappeared in 1982, but the truth is eventually revealed.', 'genres': ['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTcwMjIyMTc2Nl5BMl5BanBnXkFtZTcwOTQyMzc5Mw@@._V1_SX400_.jpg', 'directors': ['Andrew Jarecki'], 'rating': Decimal('6.2'), 'rank': Decimal('1360'), 'running_time_secs': Decimal('6060')}",2010,All Good Things
